STABR,LIBID,LIBNAME,CNTY,BKMOB,MASTER,LIBRARIA,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,DB_LO_OT,DB_ST,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,REGBOR,TOTCIR,ELMATCIR,GPTERMS,PITUSR,YR_SUB,OBEREG,FIPSST,FIPSCO,FIPSPLAC,CNTYPOP,LAT,LON
AK,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,BETHEL,0,0,0.25,$39890.00,$6500.00,$4620.00,0,$51010.00,,$4374.00,$0.00,$250.00,$4624.00,,$45913.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9003,0,1,49,50,30,480,4500,320,6389,0,7,1600,2014,8,2,50,870,17806,60.917795,-161.228344
AK,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,VALDEZ-CORDOVA,0,0,0,$0.00,$6500.00,$12926.00,18463,$37889.00,,$2319.00,$0.00,$2148.00,$4467.00,,$40962.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7931,0,0,49,49,5,984,3029,616,4243,0,3,710,2014,8,2,261,0,9770,61.709958,-144.043021
AK,AK0087-002,KOYUK PUBLIC LIBRARY,NOME,0,0,0.5,$26839.00,$6500.00,$13661.00,59400,$106400.00,,$2865.00,$802.00,$0.00,$3667.00,,$98331.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3180,0,0,49,49,10,1040,2340,350,3417,0,5,1664,2014,8,2,180,41940,9884,64.93803,-161.141837
AK,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,BETHEL,0,0,0.38,$17000.00,$6500.00,$0.00,0,$23500.00,,$6082.00,$0.00,$450.00,$6532.00,,$27526.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8940,0,0,49,49,20,720,3700,300,3852,0,7,1800,2014,8,2,50,78790,17806,61.107769,-160.952397
AK,AK0094-010,TUZZY CONSORTIUM LIBRARY,NORTH SLOPE,0,2,2,$688125.00,$52000.00,$180472.00,256148,$1176745.00,$561737.00,$47581.00,$14147.00,$8851.00,$70579.00,406347,$1038663.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,51312,13580,10,49,59,152,6168,56314,2441,34881,195,35,20281,2014,8,2,185,5200,9733,71.2984603,-156.7534146
AK,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,BETHEL,0,0,0.5,$52412.00,$6500.00,$0.00,0,$58912.00,,$4236.00,$1614.00,$400.00,$6250.00,,$48875.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,13575,0,0,49,49,0,480,8565,596,9289,0,3,4050,2014,8,2,50,61080,17806,59.012567,-161.825068
AK,AK0097-002,ESTHER GREENWALD LIBRARY,SKAGWAY-ANGOON,0,0,0.25,$34152.00,$6500.00,$10380.00,21417,$72449.00,,$7515.00,$3200.00,$1000.00,$11715.00,,$84248.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,17405,8777,4,49,53,17,1560,7900,601,4549,113,9,4212,2014,8,2,105,33360,2134,58.1082582,-135.4385608
AK,AK0099-002,MOOSE PASS PUBLIC LIBRARY,KENAI PENINSULA,0,0,0,$0.00,$9900.00,$10726.00,7213,$27839.00,,$3590.00,$0.00,$2530.00,$6120.00,,$24368.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,6808,57,0,49,49,5,876,1233,302,5988,0,4,338,2014,8,2,122,50190,57067,60.4873228,-149.3684553
AK,AK0100-002,NIKOLAI COMMUNITY/SCHOOL LIBRARY,YUKON-KOYUKUK,0,0,0.25,$3000.00,$6500.00,$14246.00,0,$23746.00,,$5676.00,$0.00,$1000.00,$6676.00,,$20628.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5000,44,0,49,49,10,480,1696,70,1148,0,7,620,2014,8,2,290,54150,5654,63.010723,-154.377316
AK,AK0101-002,SAND POINT COMMUNITY/SCHOOL LIBRARY,ALEUTIANS EAST,0,0,0.38,$37233.00,$6500.00,$0.00,0,$43733.00,,$13269.00,$34.00,$1065.00,$14368.00,,$57991.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,19220,0,0,49,49,55,800,21450,935,20684,0,22,10728,2014,8,2,13,67020,3351,55.3533513,-160.4813624
AK,AK0102-002,EGEGIK VILLAGE LIBRARY,LAKE AND PENINSULA,0,0,0.5,$9508.00,$6500.00,$13900.00,52800,$82708.00,,$743.00,$503.00,$2772.00,$4018.00,,$81106.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3784,13,0,49,49,22,1008,680,112,1000,0,2,280,2014,8,2,164,21150,1662,58.210776,-157.345234
AK,AK0103-002,TRAPPER CREEK PUBLIC LIBRARY,MATANUSKA-SUSITNA,0,0,0.75,$135244.00,$6500.00,$0.00,0,$141744.00,,$14265.00,$0.00,$0.00,$14265.00,,$141701.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,13254,8771,1,49,50,39,1270,6106,733,12277,681,8,2608,2014,8,2,170,78680,95892,62.3072213,-150.246221
AK,AK0104-002,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,YUKON-KOYUKUK,0,0,0.25,$2900.00,$6500.00,$28573.00,46420,$84393.00,,$6782.00,$0.00,$0.00,$6782.00,,$82774.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5840,0,0,49,49,20,480,1817,167,1123,0,6,1117,2014,8,2,290,0,5654,62.057258,-160.023886
AK,AK0113-002,OUZINKIE TRIBAL MEDIA CENTER,KODIAK ISLAND,0,0,0.75,$19084.00,$6500.00,$7000.00,43680,$76264.00,,$1195.00,$0.00,$4718.00,$5913.00,,$76015.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2229,0,0,49,49,18,1560,4160,110,2338,0,11,3224,2014,8,2,150,58550,14115,57.9225351,-152.4946421
AK,AK0114-002,ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY,ALEUTIANS WEST,0,0,0.25,$5466.00,$6500.00,$12040.00,8475,$32481.00,,$6099.00,$6066.00,$641.00,$12806.00,,$32480.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5200,210,1,49,50,18,672,975,33,212,65,19,256,2014,8,2,16,65800,5692,56.581679,-169.616909
AK,AK0115-002,UNALASKA PUBLIC LIBRARY,ALEUTIANS WEST,0,1,1,$686513.00,$6500.00,$15436.00,39600,$748049.00,$448854.00,$23153.00,$1284.00,$16983.00,$41420.00,197929,$688203.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,39301,0,0,49,49,136,3484,138955,7249,267630,0,24,65086,2014,8,2,16,80770,5692,53.8704886,-166.5295673
AK,AK0116-002,ANIAK PUBLIC LIBRARY,BETHEL,0,0,0.5,$11864.00,$6500.00,$15621.00,76266,$110251.00,,$1335.00,$0.00,$2166.00,$3501.00,,$110124.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3625,25,0,49,49,4,1000,4250,541,1216,25,3,3500,2014,8,2,50,0,17806,61.496996,-156.70387
AK,AK0117-002,HYDER PUBLIC LIBRARY,PR WALES-OUTER,0,0,0,$0.00,$6500.00,$20096.00,52800,$79396.00,,$2145.00,$367.00,$1258.00,$3770.00,,$81547.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8209,0,0,49,49,40,928,1632,94,1403,0,6,633,2014,8,2,198,34570,6402,55.9512325,-130.054261
AL,106-004,MILLPORT PUBLIC LIBRARY,LAMAR,0,0,1,$20267.00,$0.00,$1500.00,0,$21767.00,,$1875.00,$0.00,$0.00,$1875.00,,$22142.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11008,0,0,70,70,0,1440,691,1280,1190,0,4,514,2014,5,1,75,48808,14203,33.5615529,-88.0894225
AK,AK0120-002,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,YUKON-KOYUKUK,0,0,0.25,$3000.00,$6500.00,$22184.00,38896,$70580.00,,$3456.00,$0.00,$1544.00,$5000.00,,$61120.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3845,15,0,49,49,21,500,1300,76,297,46,5,500,2014,8,2,290,0,5654,62.682486,-159.837595
AK,AK0121-002,ANVIK COMMUNITY/SCHOOL LIBRARY,YUKON-KOYUKUK,0,0,0.25,$3000.00,$6500.00,$3860.00,85632,$98992.00,,$2461.00,$0.00,$582.00,$3043.00,,$102265.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3745,100,0,49,49,11,480,932,80,569,0,6,350,2014,8,2,290,0,5654,63.235938,-159.72838
AK,AK0122-002,GRAYLING COMMUNITY/SCHOOL LIBRARY,YUKON-KOYUKUK,0,0,0.35,$3000.00,$6500.00,$19674.00,46420,$75594.00,,$2351.00,$625.00,$0.00,$2976.00,,$68769.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7328,0,0,49,49,0,84,820,188,120,0,4,160,2014,8,2,290,0,5654,64.075022,-159.676935
AK,AK0124-002,LAKE MINCHUMINA COMMUNITY LIBRARY,YUKON-KOYUKUK,0,0,0,$6951.00,$6500.00,$20312.00,53100,$86863.00,,$1474.00,$0.00,$587.00,$2061.00,,$81411.00,$0.00,$0.00,$0.00,$1600.00,$1600.00,$1600.00,4293,0,0,49,49,15,912,1300,26,2147,0,6,980,2014,8,2,290,0,5654,63.848952,-152.427523
AK,AK0126-002,IGIUGIG TRIBAL LIBRARY,LAKE AND PENINSULA,0,0.2,0.5,$4440.00,$6500.00,$10000.00,26400,$47340.00,,$3520.00,$0.00,$434.00,$3954.00,,$78108.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10200,8777,1,49,50,26,550,1431,78,1451,80,6,151,2014,8,2,60,39630,955,58.748921,-156.57377
AK,AK0127-002,COFFMAN COVE COMMUNITY LIBRARY,PR WALES-OUTER KE,0,0,0,$7688.00,$6500.00,$9907.00,16866,$40961.00,,$3578.00,$769.00,$0.00,$4347.00,,$39703.00,$0.00,$0.00,$0.00,$0.00,$0.00,$968.00,18049,0,0,49,49,0,1152,5712,189,1761,0,3,1892,2014,8,2,198,38970,6402,55.357009,-131.69729
AK,AK0130-002,THORNE BAY PUBLIC LIBRARY,PR WALES-OUTER KE,0,0,0.5,$3989.00,$6500.00,$9574.00,15575,$35638.00,,$2633.00,$0.00,$417.00,$3050.00,,$27101.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3278,0,0,49,49,25,762,1481,322,1611,0,5,1390,2014,8,2,198,77140,6402,55.6868741,-132.5233422
AL,100-004,DOUBLE SPRINGS PUBLIC LIBRARY,WINSTON,0,0,1,$38902.00,$0.00,$7000.00,1750,$47652.00,,$4660.00,$4375.00,$0.00,$9035.00,,$47652.00,$703.00,$0.00,$0.00,$0.00,$703.00,$703.00,10980,13663,1,70,71,0,2080,3801,1617,11656,5434,7,1440,2014,5,1,133,21280,24187,34.1469989,-87.3833998
AK,AK0133-002,PILOT POINT TRIBAL LIBRARY,LAKE AND PENINSULA,-3,-3,-3,$-3.00,$-3.00,$-3.00,-3,$-3.00,,$-3.00,$-3.00,$-3.00,$-3.00,,$-3.00,$-3.00,$-3.00,$-3.00,$-3.00,$-3.00,$-3.00,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2014,8,2,164,43810,1662,59.114991,-156.842749
AL,104-007,ROCKFORD PUBLIC LIBRARY,COOSA,0,0,1,$47036.00,$2260.00,$0.00,1463,$50759.00,,$2688.00,$0.00,$0.00,$2688.00,,$48224.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5007,0,0,70,70,20,2550,2098,626,1142,0,4,712,2014,5,1,37,0,11065,32.894112,-86.162362
AK,AK0134-001,WHALE PASS COMMUNITY LIBRARY,PR WALES-OUTER KE,0,0,0,$0.00,$6500.00,$17988.00,54513,$79001.00,,$2600.00,$0.00,$2697.00,$5297.00,,$78223.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5843,0,0,49,49,27,735,1776,188,2373,0,3,852,2014,8,2,198,84000,6402,56.1135692,-133.1211057
AK,AK0135-001,TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER,DILLINGHAM,0,0,0,$12000.00,$6500.00,$31202.00,113543,$163245.00,,$13500.00,$0.00,$990.00,$14490.00,,$148425.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10650,30,0,49,49,2,1500,12910,391,2116,6,7,7800,2014,8,2,70,77690,4988,59.059753,-160.391336
AK,AK0136-001,SCAMMON BAY PUBLIC LIBRARY,WADE HAMPTON,0,0,0.5,$5897.00,$6500.00,$7000.00,3620,$23017.00,,$2192.00,$0.00,$0.00,$2192.00,,$18763.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3886,0,0,49,49,0,1920,680,518,100,0,3,420,2014,8,2,270,33470,7952,61.534112,-166.081432
AK,AK0137-001,KLUKWAN COMMUNITY/SCHOOL LIBRARY,HAINES,0,0,0,$500.00,$6500.00,$64952.00,27954,$99906.00,,$5446.00,$0.00,$1259.00,$6705.00,,$99905.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,6607,0,0,49,49,19,830,2280,199,2863,0,4,700,2014,8,2,100,31050,2569,59.23259,-135.448159
AL,100-000,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,WALKER,0,1,3.5,$99408.00,$90279.00,$0.00,57002,$246689.00,$129549.00,$18065.00,$0.00,$0.00,$18065.00,101415,$249029.00,$3921.00,$0.00,$0.00,$4500.00,$8421.00,$8421.00,0,13663,1,70,71,0,2340,199950,0,0,0,4,3841,2014,5,1,127,38416,65859,33.8333948,-87.2739076
AL,100-001,ARLEY PUBLIC LIBRARY,WINSTON,0,0,0.5,$25260.00,$0.00,$7000.00,1750,$34010.00,,$4591.00,$4375.00,$0.00,$8966.00,,$34010.00,$10940.00,$0.00,$0.00,$320.00,$11260.00,$11260.00,9892,13663,1,70,71,12,1820,4983,1917,11874,5434,8,1133,2014,5,1,133,0,24187,34.0500512,-87.2234374
AL,100-005,HALEYVILLE PUBLIC LIBRARY,WINSTON,0,0,2,$75613.00,$0.00,$7000.00,1750,$84363.00,,$5756.00,$4375.00,$0.00,$10131.00,,$84363.00,$9802.00,$0.00,$0.00,$0.00,$9802.00,$9802.00,12351,13663,1,70,71,0,2496,16512,3432,17717,5434,9,1489,2014,5,1,133,32704,24187,34.2263998,-87.623363
AL,100-006,JASPER PUBLIC LIBRARY,WALKER,0,2,5.13,$178912.00,$0.00,$10000.00,2500,$191412.00,$92708.00,$22623.00,$4898.00,$0.00,$27521.00,71183,$191412.00,$7200.00,$0.00,$0.00,$0.00,$7200.00,$7200.00,57201,13663,1,70,71,0,2080,54431,14139,68259,5434,24,8257,2014,5,1,127,38416,65859,33.8333948,-87.2739076
AL,100-008,SUMITON PUBLIC LIBRARY,WALKER,0,0,0.75,$52111.00,$0.00,$7000.00,1750,$60861.00,,$4586.00,$4375.00,$0.00,$8961.00,,$60861.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10370,13663,1,70,71,0,2288,5318,2383,15459,5434,8,1471,2014,5,1,127,73848,65859,33.7495769,-87.0495275
AL,101-000,CHEAHA REGIONAL LIBRARY,CLEBURNE,2,0,1,$9400.00,$149725.00,$0.00,1200,$160325.00,$64400.00,$6600.00,$2750.00,$6750.00,$16100.00,19589,$100089.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,19614,8370,1,70,71,2,3560,1220,8491,78178,16183,6,215,2014,5,1,29,33976,15017,33.6437581,-85.5889203
AL,101-001,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,RANDOLPH,0,0,1,$118379.00,$6615.00,$0.00,5500,$130494.00,$83640.00,$9227.00,$0.00,$0.00,$9227.00,34223,$127090.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,19076,0,0,70,70,0,2164,30824,6578,50816,0,16,10000,2014,5,1,111,65040,22663,33.1495407,-85.3706895
AL,101-002,ASHLAND CITY PUBLIC LIBRARY,CLAY,0,0,1,$61092.00,$2886.00,$0.00,7559,$71537.00,,$4056.00,$1501.00,$134.00,$5691.00,,$69335.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,24050,1800,0,70,70,0,2008,14581,4144,17233,624,15,5422,2014,5,1,27,2860,13506,33.274741,-85.837242
AL,999-028,SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,TALLADEGA,0,1,3,$618755.00,$12579.00,$10000.00,48035,$689369.00,$488295.00,$23594.00,$19405.00,$9224.00,$52223.00,135380,$675898.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,99623,784,3,70,73,92,2600,62779,30025,175521,6612,66,16786,2014,5,1,121,74352,81339,33.1718114,-86.2507305
AL,101-004,CHEROKEE COUNTY PUBLIC LIBRARY,CHEROKEE,0,0.9,0.9,$137907.00,$11160.00,$0.00,4565,$153632.00,$80310.00,$16402.00,$0.00,$974.00,$17376.00,62627,$160313.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,32205,0,0,70,70,0,2023,40230,16915,88455,0,19,8276,2014,5,1,19,13648,26115,34.1493617,-85.6763663
AL,101-005,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,TALLADEGA,0,0,2,$116876.00,$5027.00,$0.00,19344,$141247.00,$89420.00,$27952.00,$1500.00,$1040.00,$30492.00,41550,$161462.00,$0.00,$0.00,$0.00,$0.00,$0.00,$45000.00,59304,0,1,70,71,46,2490,19515,12536,40837,0,19,13257,2014,5,1,121,14464,81339,33.2775588,-86.3556694
AL,101-006,LINCOLN PUBLIC LIBRARY,TALLADEGA,0,0,2,$118599.00,$4662.00,$0.00,3050,$126311.00,,$7662.00,$0.00,$0.00,$7662.00,,$111261.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,16619,0,0,70,70,4,2156,8150,3611,7225,0,13,5215,2014,5,1,121,43120,81339,33.6044887,-86.1235871
AL,101-007,LINEVILLE PUBLIC LIBRARY,CLAY,0,0,1,$42575.00,$2216.00,$0.00,2560,$47351.00,,$3700.00,$0.00,$702.00,$4402.00,,$39352.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15418,0,1,70,71,2,1857,5429,2487,8196,0,3,195,2014,5,1,27,43264,13506,33.3145941,-85.7544585
AL,101-008,HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY,CLEBURNE,0,0,0.55,$25000.00,$3208.00,$0.00,2385,$30593.00,,$2457.00,$0.00,$139.00,$2596.00,,$29188.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1176.00,17365,0,0,70,70,22,1214,9964,4580,9687,0,7,2101,2014,5,1,29,33976,15017,33.6437218,-85.5878737
AL,101-009,OXFORD PUBLIC LIBRARY,CALHOUN,0,1,1,$427500.00,$19607.00,$0.00,0,$447107.00,$240000.00,$25824.00,$0.00,$4862.00,$30686.00,21954,$292640.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,54249,17864,0,70,70,32,2236,30000,19411,80039,659,53,22597,2014,5,1,15,57576,116547,33.6097203,-85.8355168
AL,999-070,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,TALLADEGA,0,0,1,$365868.00,$15447.00,$2000.00,11671,$394986.00,$235680.00,$34714.00,$5000.00,$5422.00,$45136.00,115226,$396042.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,150259,25,1,70,71,144,2384,61100,18062,66314,365,27,10149,2014,5,1,121,74592,81339,33.4331188,-86.0997635
AL,999-033,ABBEVILLE MEMORIAL LIBRARY,HENRY,0,0,1,$99774.00,$8638.00,$0.00,7161,$115573.00,$77422.00,$6899.00,$0.00,$2078.00,$8977.00,38297,$124696.00,$0.00,$0.00,$50000.00,$0.00,$50000.00,$50194.00,31465,38,0,70,70,28,2080,25507,5951,15931,314,19,12031,2014,5,1,67,124,17224,31.5672929,-85.2504667
AL,999-075,ARITON - DOT LANEY MEMORIAL LIBRARY,DALE,0,0,0.4,$11540.00,$753.00,$0.00,5206,$17499.00,,$440.00,$0.00,$313.00,$753.00,,$19350.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,13333,0,0,70,70,0,823,1834,601,1401,0,9,941,2014,5,1,45,2428,49845,31.6001879,-85.7194125
AL,999-035,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,HENRY,0,0,1,$110300.00,$8638.00,$0.00,5844,$124782.00,$77345.00,$10939.00,$0.00,$4347.00,$15286.00,14969,$107600.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,64120,0,0,70,70,0,2236,29275,8640,21119,0,16,8150,2014,5,1,67,33856,17224,31.3523595,-85.3419344
AL,999-061,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,PIKE,0,1,4,$209048.00,$7085.00,$0.00,8336,$224469.00,$113219.00,$23353.00,$0.00,$7143.00,$30496.00,18243,$161958.00,$2357.00,$0.00,$0.00,$0.00,$2357.00,$67891.00,12798,79,0,70,70,24,2236,10573,2378,14671,0,19,3805,2014,5,1,109,10240,33682,31.7189493,-85.8155105
AL,999-079,OZARK - DALE COUNTY PUBLIC LIBRARY,DALE,0,0,2,$147950.00,$36582.00,$2400.00,81542,$268474.00,$151865.00,$16843.00,$3400.00,$2376.00,$22619.00,82801,$257285.00,$22322.00,$0.00,$0.00,$0.00,$22322.00,$43915.00,62432,895,0,70,70,0,2061,109467,13584,103130,407,42,27167,2014,5,1,45,57648,49845,31.452208,-85.6327649
AL,517-001,CLIO - ELTON B. STEPHENS LIBRARY,BARBOUR,0,0,1,$10251.00,$3672.00,$0.00,0,$13923.00,,$2365.00,$0.00,$200.00,$2565.00,,$10493.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,17217,0,0,70,70,0,1045,17650,942,38337,0,18,5026,2014,5,1,5,15640,26978,31.7087604,-85.6120904
AL,517-003,LOUISVILLE PUBLIC LIBRARY,BARBOUR,0,0,0.6,$4159.00,$2810.00,$0.00,0,$6969.00,,$1014.00,$0.00,$39.00,$1053.00,,$6676.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,4022,0,0,70,70,0,900,460,255,360,0,3,255,2014,5,1,5,44344,26978,31.782949,-85.555864
AL,999-077,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,DALE,0,0,1,$31826.00,$2319.00,$0.00,6722,$40867.00,,$5615.00,$120.00,$824.00,$6559.00,,$57467.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9020,0,0,70,70,0,1800,10996,2413,2550,0,18,6050,2014,5,1,45,0,49845,31.336223,-85.523526
AL,999-078,NEWTON PUBLIC LIBRARY,DALE,0,0,1,$21245.00,$2132.00,$0.00,0,$23377.00,,$1810.00,$0.00,$0.00,$1810.00,,$18777.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,12935,0,0,70,70,0,1580,5250,720,17178,0,8,925,2014,5,1,45,54480,49845,31.3319466,-85.5968512
AL,517-004,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,BARBOUR,0,0,1,$12440.00,$5269.00,$8000.00,14920,$40629.00,,$4008.00,$0.00,$8200.00,$12208.00,,$33991.00,$0.00,$0.00,$8000.00,$0.00,$8000.00,$8000.00,16063,0,0,70,70,4,1250,6583,2389,2244,0,16,4678,2014,5,1,5,15376,26978,31.8845803,-85.458798
AL,999-060,TROY PUBLIC LIBRARY,PIKE,0,1,7,$543797.00,$25573.00,$0.00,13607,$582977.00,$405907.00,$62722.00,$2905.00,$20794.00,$86421.00,75760,$568088.00,$0.00,$0.00,$0.00,$0.00,$0.00,$62000.00,78841,11400,2,70,72,92,2600,93112,20638,201766,42036,16,9576,2014,5,1,109,76920,33682,31.8085334,-85.9677353
AL,999-058,UNION SPRINGS PUBLIC LIBRARY,BULLOCK,0,0,1,$39700.00,$10460.00,$0.00,4909,$55069.00,$37759.00,$8950.00,$0.00,$150.00,$9100.00,9219,$56078.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10872,0,0,70,70,23,1584,9597,2153,3123,0,24,6009,2014,5,1,11,77880,10605,32.1406206,-85.7161121
AL,103-001,ANDALUSIA PUBLIC LIBRARY,COVINGTON,0,1,2,$222751.00,$18222.00,$0.00,20791,$261764.00,$203077.00,$21134.00,$0.00,$1206.00,$22340.00,51343,$276760.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,50483,0,1,70,71,0,2499,27965,23575,43653,0,32,23587,2014,5,1,39,1708,37850,31.3068476,-86.4829134
AL,103-002,BRANTLEY PUBLIC LIBRARY,CRENSHAW,0,0,2,$24500.00,$3460.00,$0.00,0,$27960.00,,$2243.00,$0.00,$0.00,$2243.00,,$24743.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9151,0,0,70,70,27,1100,3250,1594,10422,0,4,975,2014,5,1,41,0,13960,31.579297,-86.292382
AL,999-034,ELBA PUBLIC LIBRARY,COFFEE,0,1,1,$74480.00,$9809.00,$3720.00,7426,$95435.00,,$13332.00,$0.00,$3901.00,$17233.00,,$91539.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,18601,0,0,70,70,23,2083,20964,2264,18655,0,8,5268,2014,5,1,31,23296,50861,31.414525,-86.066332
AL,103-004,GENEVA - EMMA KNOX KENAN PUBLIC LIBRARY,GENEVA,0,0,1,$90792.00,$8335.00,$0.00,5101,$104228.00,$63951.00,$10949.00,$0.00,$997.00,$11946.00,21054,$96951.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,17334,0,2,70,72,20,1820,16440,5454,8178,0,3,3831,2014,5,1,61,29464,26742,31.0362535,-85.8650891
AL,999-041,ENTERPRISE PUBLIC LIBRARY,COFFEE,0,0,2,$169595.00,$40324.00,$0.00,38696,$248615.00,$154704.00,$24082.00,$5000.00,$4270.00,$33352.00,62265,$250321.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,53928,10482,2,70,72,9,2530,99945,121361,139054,1971,28,33521,2014,5,1,31,24184,50861,31.314037,-85.852791
AL,103-006,FLORALA PUBLIC LIBRARY,COVINGTON,0,0,1,$58444.00,$6415.00,$7000.00,5698,$77557.00,$48805.00,$7805.00,$6284.00,$1763.00,$15852.00,13970,$78627.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,16400,134,0,70,70,31,1960,18868,2803,14641,460,10,5225,2014,5,1,39,26848,37850,31.020628,-86.326526
AL,103-007,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,GENEVA,0,0,1,$79260.00,$6518.00,$0.00,5261,$91039.00,,$11437.00,$4024.00,$3847.00,$19308.00,,$93253.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,22241,189,0,70,70,38,2248,13737,2494,29721,881,10,4721,2014,5,1,61,33424,26742,31.0982684,-85.6967458
AL,103-008,LUVERNE PUBLIC LIBRARY,CRENSHAW,0,0,2,$102697.00,$10343.00,$0.00,27925,$140965.00,$84891.00,$8175.00,$4750.00,$12324.00,$25249.00,30800,$140940.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,14662,9567,0,70,70,25,1837,31391,7411,43561,341,13,7664,2014,5,1,41,44728,13960,31.7163308,-86.2614088
